"","study","author","year","ai","n1i","ci","n2i"
"1",1,"Bach",1996,0,116,3,117
"2",2,"George",1997,1,44,3,35
"3",3,"Maki",1997,2,208,9,195
"4",4,"Raad",1997,0,130,7,136
"5",5,"Heard",1998,5,151,6,157
"6",6,"Collin",1999,1,98,4,139
"7",7,"Hannan",1999,1,174,3,177
"8",8,"Marik",1999,1,74,2,39
"9",9,"Pierce",2000,1,97,19,103
"10",10,"Sheng",2000,1,113,2,122
"11",11,"Chatzinikolaou",2003,0,66,7,64
"12",12,"Corral",2003,0,70,1,58
"13",13,"Brun-Buisson",2004,3,188,5,175
"14",14,"Leon",2004,6,187,11,180
"15",15,"Yucel",2004,0,118,0,105
"16",16,"Moretti",2005,0,252,1,262
"17",17,"Rupp",2005,1,345,3,362
"18",18,"Osma",2006,4,64,1,69
